"value","statistic","variable","country","total_asked","who_was_asked"
"Funding from family and friends",7,"h12020_hhd_hlp_typ_text","GB",1125,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",29,"h12020_hhd_hlp_typ_text","GB",1125,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",2,"h12020_hhd_hlp_typ_text","GB",1125,"Owners/Managers of SMB Businesses"
"Grants from the government",155,"h12020_hhd_hlp_typ_text","GB",1125,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",10,"h12020_hhd_hlp_typ_text","GB",1125,"Owners/Managers of SMB Businesses"
"Other (please specify)",16,"h12020_hhd_hlp_typ_text","GB",1125,"Owners/Managers of SMB Businesses"
"Unemployment benefits",27,"h12020_hhd_hlp_typ_text","GB",1125,"Owners/Managers of SMB Businesses"
NA,857,"h12020_hhd_hlp_typ_text","GB",1125,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",1,"h12020_hhd_hlp_typ_text","GH",501,"Owners/Managers of SMB Businesses"
"Funding from family and friends",4,"h12020_hhd_hlp_typ_text","GH",501,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",6,"h12020_hhd_hlp_typ_text","GH",501,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",1,"h12020_hhd_hlp_typ_text","GH",501,"Owners/Managers of SMB Businesses"
"Grants from the government",1,"h12020_hhd_hlp_typ_text","GH",501,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",2,"h12020_hhd_hlp_typ_text","GH",501,"Owners/Managers of SMB Businesses"
"Unemployment benefits",2,"h12020_hhd_hlp_typ_text","GH",501,"Owners/Managers of SMB Businesses"
NA,484,"h12020_hhd_hlp_typ_text","GH",501,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",2,"h12020_hhd_hlp_typ_text","GR",572,"Owners/Managers of SMB Businesses"
"Funding from family and friends",9,"h12020_hhd_hlp_typ_text","GR",572,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",3,"h12020_hhd_hlp_typ_text","GR",572,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",1,"h12020_hhd_hlp_typ_text","GR",572,"Owners/Managers of SMB Businesses"
"Grants from the government",44,"h12020_hhd_hlp_typ_text","GR",572,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",15,"h12020_hhd_hlp_typ_text","GR",572,"Owners/Managers of SMB Businesses"
"Other (please specify)",5,"h12020_hhd_hlp_typ_text","GR",572,"Owners/Managers of SMB Businesses"
"Unemployment benefits",3,"h12020_hhd_hlp_typ_text","GR",572,"Owners/Managers of SMB Businesses"
NA,490,"h12020_hhd_hlp_typ_text","GR",572,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",3,"h12020_hhd_hlp_typ_text","HU",523,"Owners/Managers of SMB Businesses"
"Funding from family and friends",2,"h12020_hhd_hlp_typ_text","HU",523,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",3,"h12020_hhd_hlp_typ_text","HU",523,"Owners/Managers of SMB Businesses"
"Grants from the government",23,"h12020_hhd_hlp_typ_text","HU",523,"Owners/Managers of SMB Businesses"
