value,statistic,variable,country,total_asked,who_was_asked
Between 1 and 2 years,13,bus_exp_text,SE,197,Owners/Managers of SMB Businesses
Between 2 and 5 years,27,bus_exp_text,SE,197,Owners/Managers of SMB Businesses
Less than 1 year,12,bus_exp_text,SE,197,Owners/Managers of SMB Businesses
5 years or more,46,bus_exp_text,SG,82,Owners/Managers of SMB Businesses
Between 1 and 2 years,9,bus_exp_text,SG,82,Owners/Managers of SMB Businesses
Between 2 and 5 years,20,bus_exp_text,SG,82,Owners/Managers of SMB Businesses
Less than 1 year,7,bus_exp_text,SG,82,Owners/Managers of SMB Businesses
5 years or more,46,bus_exp_text,SI,81,Owners/Managers of SMB Businesses
Between 1 and 2 years,7,bus_exp_text,SI,81,Owners/Managers of SMB Businesses
Between 2 and 5 years,22,bus_exp_text,SI,81,Owners/Managers of SMB Businesses
Less than 1 year,6,bus_exp_text,SI,81,Owners/Managers of SMB Businesses
5 years or more,124,bus_exp_text,SK,182,Owners/Managers of SMB Businesses
Between 1 and 2 years,16,bus_exp_text,SK,182,Owners/Managers of SMB Businesses
Between 2 and 5 years,32,bus_exp_text,SK,182,Owners/Managers of SMB Businesses
Less than 1 year,10,bus_exp_text,SK,182,Owners/Managers of SMB Businesses
5 years or more,22,bus_exp_text,SN,72,Owners/Managers of SMB Businesses
Between 1 and 2 years,15,bus_exp_text,SN,72,Owners/Managers of SMB Businesses
Between 2 and 5 years,13,bus_exp_text,SN,72,Owners/Managers of SMB Businesses
Less than 1 year,20,bus_exp_text,SN,72,Owners/Managers of SMB Businesses
NA,2,bus_exp_text,SN,72,Owners/Managers of SMB Businesses
5 years or more,84,bus_exp_text,SV,207,Owners/Managers of SMB Businesses
Between 1 and 2 years,44,bus_exp_text,SV,207,Owners/Managers of SMB Businesses
Between 2 and 5 years,44,bus_exp_text,SV,207,Owners/Managers of SMB Businesses
Less than 1 year,35,bus_exp_text,SV,207,Owners/Managers of SMB Businesses
5 years or more,93,bus_exp_text,TH,179,Owners/Managers of SMB Businesses
Between 1 and 2 years,28,bus_exp_text,TH,179,Owners/Managers of SMB Businesses
Between 2 and 5 years,42,bus_exp_text,TH,179,Owners/Managers of SMB Businesses
Less than 1 year,13,bus_exp_text,TH,179,Owners/Managers of SMB Businesses
NA,3,bus_exp_text,TH,179,Owners/Managers of SMB Businesses
5 years or more,67,bus_exp_text,TN,131,Owners/Managers of SMB Businesses
Between 1 and 2 years,14,bus_exp_text,TN,131,Owners/Managers of SMB Businesses
Between 2 and 5 years,31,bus_exp_text,TN,131,Owners/Managers of SMB Businesses
Less than 1 year,19,bus_exp_text,TN,131,Owners/Managers of SMB Businesses
5 years or more,141,bus_exp_text,TR,213,Owners/Managers of SMB Businesses
Between 1 and 2 years,25,bus_exp_text,TR,213,Owners/Managers of SMB Businesses
Between 2 and 5 years,30,bus_exp_text,TR,213,Owners/Managers of SMB Businesses
Less than 1 year,16,bus_exp_text,TR,213,Owners/Managers of SMB Businesses
NA,1,bus_exp_text,TR,213,Owners/Managers of SMB Businesses
5 years or more,31,bus_exp_text,TT,59,Owners/Managers of SMB Businesses
Between 1 and 2 years,11,bus_exp_text,TT,59,Owners/Managers of SMB Businesses
Between 2 and 5 years,10,bus_exp_text,TT,59,Owners/Managers of SMB Businesses
Less than 1 year,7,bus_exp_text,TT,59,Owners/Managers of SMB Businesses
5 years or more,125,bus_exp_text,TW,193,Owners/Managers of SMB Businesses
Between 1 and 2 years,17,bus_exp_text,TW,193,Owners/Managers of SMB Businesses
Between 2 and 5 years,35,bus_exp_text,TW,193,Owners/Managers of SMB Businesses
Less than 1 year,15,bus_exp_text,TW,193,Owners/Managers of SMB Businesses
NA,1,bus_exp_text,TW,193,Owners/Managers of SMB Businesses
5 years or more,28,bus_exp_text,TZ,118,Owners/Managers of SMB Businesses
Between 1 and 2 years,30,bus_exp_text,TZ,118,Owners/Managers of SMB Businesses
Between 2 and 5 years,25,bus_exp_text,TZ,118,Owners/Managers of SMB Businesses
Less than 1 year,32,bus_exp_text,TZ,118,Owners/Managers of SMB Businesses
NA,3,bus_exp_text,TZ,118,Owners/Managers of SMB Businesses
5 years or more,42,bus_exp_text,UG,158,Owners/Managers of SMB Businesses
Between 1 and 2 years,47,bus_exp_text,UG,158,Owners/Managers of SMB Businesses
Between 2 and 5 years,50,bus_exp_text,UG,158,Owners/Managers of SMB Businesses
Less than 1 year,17,bus_exp_text,UG,158,Owners/Managers of SMB Businesses
NA,2,bus_exp_text,UG,158,Owners/Managers of SMB Businesses
5 years or more,190,bus_exp_text,US,276,Owners/Managers of SMB Businesses
Between 1 and 2 years,22,bus_exp_text,US,276,Owners/Managers of SMB Businesses
Between 2 and 5 years,48,bus_exp_text,US,276,Owners/Managers of SMB Businesses
Less than 1 year,16,bus_exp_text,US,276,Owners/Managers of SMB Businesses
5 years or more,66,bus_exp_text,UY,130,Owners/Managers of SMB Businesses
Between 1 and 2 years,18,bus_exp_text,UY,130,Owners/Managers of SMB Businesses
Between 2 and 5 years,25,bus_exp_text,UY,130,Owners/Managers of SMB Businesses
Less than 1 year,21,bus_exp_text,UY,130,Owners/Managers of SMB Businesses
5 years or more,52,bus_exp_text,VN,158,Owners/Managers of SMB Businesses
Between 1 and 2 years,39,bus_exp_text,VN,158,Owners/Managers of SMB Businesses
Between 2 and 5 years,33,bus_exp_text,VN,158,Owners/Managers of SMB Businesses
Less than 1 year,33,bus_exp_text,VN,158,Owners/Managers of SMB Businesses
NA,1,bus_exp_text,VN,158,Owners/Managers of SMB Businesses
5 years or more,99,bus_exp_text,ZA,222,Owners/Managers of SMB Businesses
Between 1 and 2 years,46,bus_exp_text,ZA,222,Owners/Managers of SMB Businesses
Between 2 and 5 years,32,bus_exp_text,ZA,222,Owners/Managers of SMB Businesses
Less than 1 year,43,bus_exp_text,ZA,222,Owners/Managers of SMB Businesses
NA,2,bus_exp_text,ZA,222,Owners/Managers of SMB Businesses
5 years or more,48,bus_exp_text,ZM,136,Owners/Managers of SMB Businesses
Between 1 and 2 years,34,bus_exp_text,ZM,136,Owners/Managers of SMB Businesses
Between 2 and 5 years,26,bus_exp_text,ZM,136,Owners/Managers of SMB Businesses
Less than 1 year,27,bus_exp_text,ZM,136,Owners/Managers of SMB Businesses
NA,1,bus_exp_text,ZM,136,Owners/Managers of SMB Businesses
All employees are female,11,bus_fem_text,AE,187,Owners/Managers of SMB Businesses
Exactly half,13,bus_fem_text,AE,187,Owners/Managers of SMB Businesses
Less than half,41,bus_fem_text,AE,187,Owners/Managers of SMB Businesses
More than half,17,bus_fem_text,AE,187,Owners/Managers of SMB Businesses
None,97,bus_fem_text,AE,187,Owners/Managers of SMB Businesses
NA,8,bus_fem_text,AE,187,Owners/Managers of SMB Businesses
All employees are female,11,bus_fem_text,AL,75,Owners/Managers of SMB Businesses
Exactly half,9,bus_fem_text,AL,75,Owners/Managers of SMB Businesses
Less than half,14,bus_fem_text,AL,75,Owners/Managers of SMB Businesses
More than half,14,bus_fem_text,AL,75,Owners/Managers of SMB Businesses
None,23,bus_fem_text,AL,75,Owners/Managers of SMB Businesses
NA,4,bus_fem_text,AL,75,Owners/Managers of SMB Businesses
All employees are female,14,bus_fem_text,AO,196,Owners/Managers of SMB Businesses
Exactly half,16,bus_fem_text,AO,196,Owners/Managers of SMB Businesses
Less than half,55,bus_fem_text,AO,196,Owners/Managers of SMB Businesses
More than half,14,bus_fem_text,AO,196,Owners/Managers of SMB Businesses
None,83,bus_fem_text,AO,196,Owners/Managers of SMB Businesses
NA,14,bus_fem_text,AO,196,Owners/Managers of SMB Businesses
All employees are female,32,bus_fem_text,AR,240,Owners/Managers of SMB Businesses
Exactly half,29,bus_fem_text,AR,240,Owners/Managers of SMB Businesses
Less than half,23,bus_fem_text,AR,240,Owners/Managers of SMB Businesses
More than half,24,bus_fem_text,AR,240,Owners/Managers of SMB Businesses
None,101,bus_fem_text,AR,240,Owners/Managers of SMB Businesses
NA,31,bus_fem_text,AR,240,Owners/Managers of SMB Businesses
All employees are female,34,bus_fem_text,AT,213,Owners/Managers of SMB Businesses
Exactly half,31,bus_fem_text,AT,213,Owners/Managers of SMB Businesses
Less than half,40,bus_fem_text,AT,213,Owners/Managers of SMB Businesses
More than half,34,bus_fem_text,AT,213,Owners/Managers of SMB Businesses
None,60,bus_fem_text,AT,213,Owners/Managers of SMB Businesses
NA,14,bus_fem_text,AT,213,Owners/Managers of SMB Businesses
All employees are female,51,bus_fem_text,AU,202,Owners/Managers of SMB Businesses
Exactly half,21,bus_fem_text,AU,202,Owners/Managers of SMB Businesses
Less than half,28,bus_fem_text,AU,202,Owners/Managers of SMB Businesses
More than half,30,bus_fem_text,AU,202,Owners/Managers of SMB Businesses
None,63,bus_fem_text,AU,202,Owners/Managers of SMB Businesses
NA,9,bus_fem_text,AU,202,Owners/Managers of SMB Businesses
All employees are female,10,bus_fem_text,AZ,92,Owners/Managers of SMB Businesses
Exactly half,9,bus_fem_text,AZ,92,Owners/Managers of SMB Businesses
Less than half,20,bus_fem_text,AZ,92,Owners/Managers of SMB Businesses
More than half,13,bus_fem_text,AZ,92,Owners/Managers of SMB Businesses
None,35,bus_fem_text,AZ,92,Owners/Managers of SMB Businesses
NA,5,bus_fem_text,AZ,92,Owners/Managers of SMB Businesses
All employees are female,5,bus_fem_text,BA,38,Owners/Managers of SMB Businesses
Exactly half,6,bus_fem_text,BA,38,Owners/Managers of SMB Businesses
Less than half,13,bus_fem_text,BA,38,Owners/Managers of SMB Businesses
More than half,5,bus_fem_text,BA,38,Owners/Managers of SMB Businesses
None,7,bus_fem_text,BA,38,Owners/Managers of SMB Businesses
NA,2,bus_fem_text,BA,38,Owners/Managers of SMB Businesses
All employees are female,11,bus_fem_text,BD,180,Owners/Managers of SMB Businesses
Exactly half,16,bus_fem_text,BD,180,Owners/Managers of SMB Businesses
Less than half,40,bus_fem_text,BD,180,Owners/Managers of SMB Businesses
More than half,8,bus_fem_text,BD,180,Owners/Managers of SMB Businesses
None,99,bus_fem_text,BD,180,Owners/Managers of SMB Businesses
NA,6,bus_fem_text,BD,180,Owners/Managers of SMB Businesses
All employees are female,21,bus_fem_text,BE,180,Owners/Managers of SMB Businesses
Exactly half,26,bus_fem_text,BE,180,Owners/Managers of SMB Businesses
Less than half,29,bus_fem_text,BE,180,Owners/Managers of SMB Businesses
More than half,21,bus_fem_text,BE,180,Owners/Managers of SMB Businesses
None,66,bus_fem_text,BE,180,Owners/Managers of SMB Businesses
NA,17,bus_fem_text,BE,180,Owners/Managers of SMB Businesses
Exactly half,4,bus_fem_text,BF,36,Owners/Managers of SMB Businesses
Less than half,9,bus_fem_text,BF,36,Owners/Managers of SMB Businesses
More than half,5,bus_fem_text,BF,36,Owners/Managers of SMB Businesses
None,14,bus_fem_text,BF,36,Owners/Managers of SMB Businesses
NA,4,bus_fem_text,BF,36,Owners/Managers of SMB Businesses
All employees are female,43,bus_fem_text,BG,188,Owners/Managers of SMB Businesses
Exactly half,34,bus_fem_text,BG,188,Owners/Managers of SMB Businesses
Less than half,32,bus_fem_text,BG,188,Owners/Managers of SMB Businesses
More than half,21,bus_fem_text,BG,188,Owners/Managers of SMB Businesses
None,50,bus_fem_text,BG,188,Owners/Managers of SMB Businesses
NA,8,bus_fem_text,BG,188,Owners/Managers of SMB Businesses
All employees are female,1,bus_fem_text,BJ,60,Owners/Managers of SMB Businesses
Exactly half,2,bus_fem_text,BJ,60,Owners/Managers of SMB Businesses
Less than half,29,bus_fem_text,BJ,60,Owners/Managers of SMB Businesses
More than half,10,bus_fem_text,BJ,60,Owners/Managers of SMB Businesses
None,14,bus_fem_text,BJ,60,Owners/Managers of SMB Businesses
NA,4,bus_fem_text,BJ,60,Owners/Managers of SMB Businesses
All employees are female,37,bus_fem_text,BO,233,Owners/Managers of SMB Businesses
Exactly half,40,bus_fem_text,BO,233,Owners/Managers of SMB Businesses
Less than half,44,bus_fem_text,BO,233,Owners/Managers of SMB Businesses
More than half,30,bus_fem_text,BO,233,Owners/Managers of SMB Businesses
None,75,bus_fem_text,BO,233,Owners/Managers of SMB Businesses
NA,7,bus_fem_text,BO,233,Owners/Managers of SMB Businesses
All employees are female,47,bus_fem_text,BR,228,Owners/Managers of SMB Businesses
Exactly half,31,bus_fem_text,BR,228,Owners/Managers of SMB Businesses
Less than half,42,bus_fem_text,BR,228,Owners/Managers of SMB Businesses
More than half,34,bus_fem_text,BR,228,Owners/Managers of SMB Businesses
None,63,bus_fem_text,BR,228,Owners/Managers of SMB Businesses
NA,11,bus_fem_text,BR,228,Owners/Managers of SMB Businesses
All employees are female,7,bus_fem_text,BW,52,Owners/Managers of SMB Businesses
Exactly half,5,bus_fem_text,BW,52,Owners/Managers of SMB Businesses
Less than half,12,bus_fem_text,BW,52,Owners/Managers of SMB Businesses
More than half,5,bus_fem_text,BW,52,Owners/Managers of SMB Businesses
None,22,bus_fem_text,BW,52,Owners/Managers of SMB Businesses
NA,1,bus_fem_text,BW,52,Owners/Managers of SMB Businesses
All employees are female,13,bus_fem_text,BY,73,Owners/Managers of SMB Businesses
Exactly half,6,bus_fem_text,BY,73,Owners/Managers of SMB Businesses
Less than half,18,bus_fem_text,BY,73,Owners/Managers of SMB Businesses
More than half,15,bus_fem_text,BY,73,Owners/Managers of SMB Businesses
None,16,bus_fem_text,BY,73,Owners/Managers of SMB Businesses
NA,5,bus_fem_text,BY,73,Owners/Managers of SMB Businesses
All employees are female,60,bus_fem_text,CA,221,Owners/Managers of SMB Businesses
Exactly half,33,bus_fem_text,CA,221,Owners/Managers of SMB Businesses
Less than half,28,bus_fem_text,CA,221,Owners/Managers of SMB Businesses
More than half,37,bus_fem_text,CA,221,Owners/Managers of SMB Businesses
None,54,bus_fem_text,CA,221,Owners/Managers of SMB Businesses
NA,9,bus_fem_text,CA,221,Owners/Managers of SMB Businesses
All employees are female,49,bus_fem_text,CH,203,Owners/Managers of SMB Businesses
Exactly half,38,bus_fem_text,CH,203,Owners/Managers of SMB Businesses
Less than half,28,bus_fem_text,CH,203,Owners/Managers of SMB Businesses
More than half,24,bus_fem_text,CH,203,Owners/Managers of SMB Businesses
None,52,bus_fem_text,CH,203,Owners/Managers of SMB Businesses
NA,12,bus_fem_text,CH,203,Owners/Managers of SMB Businesses
All employees are female,6,bus_fem_text,CI,103,Owners/Managers of SMB Businesses
Exactly half,17,bus_fem_text,CI,103,Owners/Managers of SMB Businesses
Less than half,22,bus_fem_text,CI,103,Owners/Managers of SMB Businesses
More than half,11,bus_fem_text,CI,103,Owners/Managers of SMB Businesses
None,36,bus_fem_text,CI,103,Owners/Managers of SMB Businesses
NA,11,bus_fem_text,CI,103,Owners/Managers of SMB Businesses
All employees are female,37,bus_fem_text,CL,211,Owners/Managers of SMB Businesses
Exactly half,43,bus_fem_text,CL,211,Owners/Managers of SMB Businesses
Less than half,33,bus_fem_text,CL,211,Owners/Managers of SMB Businesses
More than half,18,bus_fem_text,CL,211,Owners/Managers of SMB Businesses
None,72,bus_fem_text,CL,211,Owners/Managers of SMB Businesses
NA,8,bus_fem_text,CL,211,Owners/Managers of SMB Businesses
All employees are female,5,bus_fem_text,CM,89,Owners/Managers of SMB Businesses
Exactly half,9,bus_fem_text,CM,89,Owners/Managers of SMB Businesses
Less than half,28,bus_fem_text,CM,89,Owners/Managers of SMB Businesses
More than half,14,bus_fem_text,CM,89,Owners/Managers of SMB Businesses
None,24,bus_fem_text,CM,89,Owners/Managers of SMB Businesses
NA,9,bus_fem_text,CM,89,Owners/Managers of SMB Businesses
All employees are female,45,bus_fem_text,CO,213,Owners/Managers of SMB Businesses
Exactly half,41,bus_fem_text,CO,213,Owners/Managers of SMB Businesses
Less than half,37,bus_fem_text,CO,213,Owners/Managers of SMB Businesses
More than half,27,bus_fem_text,CO,213,Owners/Managers of SMB Businesses
None,52,bus_fem_text,CO,213,Owners/Managers of SMB Businesses
NA,11,bus_fem_text,CO,213,Owners/Managers of SMB Businesses
All employees are female,33,bus_fem_text,CR,197,Owners/Managers of SMB Businesses
Exactly half,32,bus_fem_text,CR,197,Owners/Managers of SMB Businesses
Less than half,24,bus_fem_text,CR,197,Owners/Managers of SMB Businesses
More than half,19,bus_fem_text,CR,197,Owners/Managers of SMB Businesses
None,76,bus_fem_text,CR,197,Owners/Managers of SMB Businesses
NA,13,bus_fem_text,CR,197,Owners/Managers of SMB Businesses
All employees are female,22,bus_fem_text,CY,89,Owners/Managers of SMB Businesses
Exactly half,11,bus_fem_text,CY,89,Owners/Managers of SMB Businesses
Less than half,20,bus_fem_text,CY,89,Owners/Managers of SMB Businesses
More than half,9,bus_fem_text,CY,89,Owners/Managers of SMB Businesses
None,20,bus_fem_text,CY,89,Owners/Managers of SMB Businesses
NA,7,bus_fem_text,CY,89,Owners/Managers of SMB Businesses
All employees are female,30,bus_fem_text,CZ,173,Owners/Managers of SMB Businesses
Exactly half,17,bus_fem_text,CZ,173,Owners/Managers of SMB Businesses
Less than half,27,bus_fem_text,CZ,173,Owners/Managers of SMB Businesses
More than half,29,bus_fem_text,CZ,173,Owners/Managers of SMB Businesses
None,59,bus_fem_text,CZ,173,Owners/Managers of SMB Businesses
NA,11,bus_fem_text,CZ,173,Owners/Managers of SMB Businesses
All employees are female,20,bus_fem_text,DE,176,Owners/Managers of SMB Businesses
Exactly half,32,bus_fem_text,DE,176,Owners/Managers of SMB Businesses
Less than half,32,bus_fem_text,DE,176,Owners/Managers of SMB Businesses
More than half,33,bus_fem_text,DE,176,Owners/Managers of SMB Businesses
None,47,bus_fem_text,DE,176,Owners/Managers of SMB Businesses
NA,12,bus_fem_text,DE,176,Owners/Managers of SMB Businesses
All employees are female,19,bus_fem_text,DK,115,Owners/Managers of SMB Businesses
Exactly half,16,bus_fem_text,DK,115,Owners/Managers of SMB Businesses
Less than half,20,bus_fem_text,DK,115,Owners/Managers of SMB Businesses
More than half,16,bus_fem_text,DK,115,Owners/Managers of SMB Businesses
None,39,bus_fem_text,DK,115,Owners/Managers of SMB Businesses
NA,5,bus_fem_text,DK,115,Owners/Managers of SMB Businesses
All employees are female,31,bus_fem_text,DO,221,Owners/Managers of SMB Businesses
Exactly half,35,bus_fem_text,DO,221,Owners/Managers of SMB Businesses
Less than half,36,bus_fem_text,DO,221,Owners/Managers of SMB Businesses
More than half,21,bus_fem_text,DO,221,Owners/Managers of SMB Businesses
None,78,bus_fem_text,DO,221,Owners/Managers of SMB Businesses
NA,20,bus_fem_text,DO,221,Owners/Managers of SMB Businesses
All employees are female,10,bus_fem_text,DZ,175,Owners/Managers of SMB Businesses
Exactly half,12,bus_fem_text,DZ,175,Owners/Managers of SMB Businesses
Less than half,23,bus_fem_text,DZ,175,Owners/Managers of SMB Businesses
More than half,13,bus_fem_text,DZ,175,Owners/Managers of SMB Businesses
None,104,bus_fem_text,DZ,175,Owners/Managers of SMB Businesses
NA,13,bus_fem_text,DZ,175,Owners/Managers of SMB Businesses
All employees are female,26,bus_fem_text,EC,243,Owners/Managers of SMB Businesses
Exactly half,59,bus_fem_text,EC,243,Owners/Managers of SMB Businesses
Less than half,36,bus_fem_text,EC,243,Owners/Managers of SMB Businesses
More than half,24,bus_fem_text,EC,243,Owners/Managers of SMB Businesses
None,83,bus_fem_text,EC,243,Owners/Managers of SMB Businesses
NA,15,bus_fem_text,EC,243,Owners/Managers of SMB Businesses
All employees are female,7,bus_fem_text,EE,60,Owners/Managers of SMB Businesses
Exactly half,10,bus_fem_text,EE,60,Owners/Managers of SMB Businesses
Less than half,12,bus_fem_text,EE,60,Owners/Managers of SMB Businesses
More than half,6,bus_fem_text,EE,60,Owners/Managers of SMB Businesses
None,19,bus_fem_text,EE,60,Owners/Managers of SMB Businesses
NA,6,bus_fem_text,EE,60,Owners/Managers of SMB Businesses
All employees are female,20,bus_fem_text,EG,215,Owners/Managers of SMB Businesses
Exactly half,17,bus_fem_text,EG,215,Owners/Managers of SMB Businesses
Less than half,39,bus_fem_text,EG,215,Owners/Managers of SMB Businesses
More than half,13,bus_fem_text,EG,215,Owners/Managers of SMB Businesses
None,110,bus_fem_text,EG,215,Owners/Managers of SMB Businesses
NA,16,bus_fem_text,EG,215,Owners/Managers of SMB Businesses
All employees are female,36,bus_fem_text,ES,189,Owners/Managers of SMB Businesses
Exactly half,44,bus_fem_text,ES,189,Owners/Managers of SMB Businesses
Less than half,25,bus_fem_text,ES,189,Owners/Managers of SMB Businesses
More than half,30,bus_fem_text,ES,189,Owners/Managers of SMB Businesses
None,45,bus_fem_text,ES,189,Owners/Managers of SMB Businesses
NA,9,bus_fem_text,ES,189,Owners/Managers of SMB Businesses
All employees are female,3,bus_fem_text,ET,64,Owners/Managers of SMB Businesses
Exactly half,10,bus_fem_text,ET,64,Owners/Managers of SMB Businesses
Less than half,23,bus_fem_text,ET,64,Owners/Managers of SMB Businesses
More than half,9,bus_fem_text,ET,64,Owners/Managers of SMB Businesses
None,18,bus_fem_text,ET,64,Owners/Managers of SMB Businesses
NA,1,bus_fem_text,ET,64,Owners/Managers of SMB Businesses
All employees are female,62,bus_fem_text,FI,199,Owners/Managers of SMB Businesses
Exactly half,15,bus_fem_text,FI,199,Owners/Managers of SMB Businesses
Less than half,25,bus_fem_text,FI,199,Owners/Managers of SMB Businesses
More than half,29,bus_fem_text,FI,199,Owners/Managers of SMB Businesses
None,55,bus_fem_text,FI,199,Owners/Managers of SMB Businesses
NA,13,bus_fem_text,FI,199,Owners/Managers of SMB Businesses
All employees are female,32,bus_fem_text,FR,205,Owners/Managers of SMB Businesses
Exactly half,14,bus_fem_text,FR,205,Owners/Managers of SMB Businesses
Less than half,29,bus_fem_text,FR,205,Owners/Managers of SMB Businesses
More than half,16,bus_fem_text,FR,205,Owners/Managers of SMB Businesses
None,101,bus_fem_text,FR,205,Owners/Managers of SMB Businesses
NA,13,bus_fem_text,FR,205,Owners/Managers of SMB Businesses
All employees are female,46,bus_fem_text,GB,197,Owners/Managers of SMB Businesses
Exactly half,20,bus_fem_text,GB,197,Owners/Managers of SMB Businesses
Less than half,26,bus_fem_text,GB,197,Owners/Managers of SMB Businesses
More than half,21,bus_fem_text,GB,197,Owners/Managers of SMB Businesses
None,72,bus_fem_text,GB,197,Owners/Managers of SMB Businesses
NA,12,bus_fem_text,GB,197,Owners/Managers of SMB Businesses
All employees are female,18,bus_fem_text,GH,202,Owners/Managers of SMB Businesses
Exactly half,20,bus_fem_text,GH,202,Owners/Managers of SMB Businesses
Less than half,45,bus_fem_text,GH,202,Owners/Managers of SMB Businesses
More than half,38,bus_fem_text,GH,202,Owners/Managers of SMB Businesses
None,74,bus_fem_text,GH,202,Owners/Managers of SMB Businesses
NA,7,bus_fem_text,GH,202,Owners/Managers of SMB Businesses
All employees are female,32,bus_fem_text,GR,195,Owners/Managers of SMB Businesses
Exactly half,27,bus_fem_text,GR,195,Owners/Managers of SMB Businesses
Less than half,36,bus_fem_text,GR,195,Owners/Managers of SMB Businesses
More than half,28,bus_fem_text,GR,195,Owners/Managers of SMB Businesses
None,60,bus_fem_text,GR,195,Owners/Managers of SMB Businesses
NA,12,bus_fem_text,GR,195,Owners/Managers of SMB Businesses
All employees are female,28,bus_fem_text,GT,215,Owners/Managers of SMB Businesses
Exactly half,35,bus_fem_text,GT,215,Owners/Managers of SMB Businesses
Less than half,44,bus_fem_text,GT,215,Owners/Managers of SMB Businesses
More than half,24,bus_fem_text,GT,215,Owners/Managers of SMB Businesses
None,76,bus_fem_text,GT,215,Owners/Managers of SMB Businesses
NA,8,bus_fem_text,GT,215,Owners/Managers of SMB Businesses
All employees are female,23,bus_fem_text,HK,139,Owners/Managers of SMB Businesses
Exactly half,20,bus_fem_text,HK,139,Owners/Managers of SMB Businesses
Less than half,24,bus_fem_text,HK,139,Owners/Managers of SMB Businesses
More than half,24,bus_fem_text,HK,139,Owners/Managers of SMB Businesses
None,47,bus_fem_text,HK,139,Owners/Managers of SMB Businesses
NA,1,bus_fem_text,HK,139,Owners/Managers of SMB Businesses
All employees are female,22,bus_fem_text,HN,164,Owners/Managers of SMB Businesses
Exactly half,30,bus_fem_text,HN,164,Owners/Managers of SMB Businesses
Less than half,33,bus_fem_text,HN,164,Owners/Managers of SMB Businesses
More than half,15,bus_fem_text,HN,164,Owners/Managers of SMB Businesses
None,50,bus_fem_text,HN,164,Owners/Managers of SMB Businesses
NA,14,bus_fem_text,HN,164,Owners/Managers of SMB Businesses
All employees are female,34,bus_fem_text,HR,155,Owners/Managers of SMB Businesses
Exactly half,29,bus_fem_text,HR,155,Owners/Managers of SMB Businesses
Less than half,25,bus_fem_text,HR,155,Owners/Managers of SMB Businesses
More than half,26,bus_fem_text,HR,155,Owners/Managers of SMB Businesses
None,31,bus_fem_text,HR,155,Owners/Managers of SMB Businesses
NA,10,bus_fem_text,HR,155,Owners/Managers of SMB Businesses
All employees are female,1,bus_fem_text,HT,44,Owners/Managers of SMB Businesses
Exactly half,5,bus_fem_text,HT,44,Owners/Managers of SMB Businesses
Less than half,20,bus_fem_text,HT,44,Owners/Managers of SMB Businesses
More than half,4,bus_fem_text,HT,44,Owners/Managers of SMB Businesses
None,11,bus_fem_text,HT,44,Owners/Managers of SMB Businesses
NA,3,bus_fem_text,HT,44,Owners/Managers of SMB Businesses
All employees are female,33,bus_fem_text,HU,216,Owners/Managers of SMB Businesses
Exactly half,21,bus_fem_text,HU,216,Owners/Managers of SMB Businesses
Less than half,28,bus_fem_text,HU,216,Owners/Managers of SMB Businesses
More than half,26,bus_fem_text,HU,216,Owners/Managers of SMB Businesses
None,80,bus_fem_text,HU,216,Owners/Managers of SMB Businesses
NA,28,bus_fem_text,HU,216,Owners/Managers of SMB Businesses
All employees are female,18,bus_fem_text,ID,209,Owners/Managers of SMB Businesses
Exactly half,29,bus_fem_text,ID,209,Owners/Managers of SMB Businesses
Less than half,31,bus_fem_text,ID,209,Owners/Managers of SMB Businesses
More than half,14,bus_fem_text,ID,209,Owners/Managers of SMB Businesses
None,105,bus_fem_text,ID,209,Owners/Managers of SMB Businesses
NA,12,bus_fem_text,ID,209,Owners/Managers of SMB Businesses
All employees are female,44,bus_fem_text,IE,188,Owners/Managers of SMB Businesses
Exactly half,26,bus_fem_text,IE,188,Owners/Managers of SMB Businesses
Less than half,29,bus_fem_text,IE,188,Owners/Managers of SMB Businesses
More than half,15,bus_fem_text,IE,188,Owners/Managers of SMB Businesses
None,57,bus_fem_text,IE,188,Owners/Managers of SMB Businesses
NA,17,bus_fem_text,IE,188,Owners/Managers of SMB Businesses
All employees are female,60,bus_fem_text,IL,207,Owners/Managers of SMB Businesses
Exactly half,27,bus_fem_text,IL,207,Owners/Managers of SMB Businesses
Less than half,26,bus_fem_text,IL,207,Owners/Managers of SMB Businesses
More than half,18,bus_fem_text,IL,207,Owners/Managers of SMB Businesses
None,58,bus_fem_text,IL,207,Owners/Managers of SMB Businesses
NA,18,bus_fem_text,IL,207,Owners/Managers of SMB Businesses
All employees are female,21,bus_fem_text,IN,367,Owners/Managers of SMB Businesses
Exactly half,22,bus_fem_text,IN,367,Owners/Managers of SMB Businesses
Less than half,86,bus_fem_text,IN,367,Owners/Managers of SMB Businesses
More than half,25,bus_fem_text,IN,367,Owners/Managers of SMB Businesses
None,203,bus_fem_text,IN,367,Owners/Managers of SMB Businesses
NA,10,bus_fem_text,IN,367,Owners/Managers of SMB Businesses
All employees are female,12,bus_fem_text,IQ,251,Owners/Managers of SMB Businesses
Exactly half,19,bus_fem_text,IQ,251,Owners/Managers of SMB Businesses
Less than half,34,bus_fem_text,IQ,251,Owners/Managers of SMB Businesses
More than half,11,bus_fem_text,IQ,251,Owners/Managers of SMB Businesses
None,155,bus_fem_text,IQ,251,Owners/Managers of SMB Businesses
NA,20,bus_fem_text,IQ,251,Owners/Managers of SMB Businesses
