value,statistic,variable,country,total_asked,who_was_asked
I'm not sure,16,bus_cdt_text,CO,213,Owners/Managers of SMB Businesses
No,150,bus_cdt_text,CO,213,Owners/Managers of SMB Businesses
Yes,39,bus_cdt_text,CO,213,Owners/Managers of SMB Businesses
NA,8,bus_cdt_text,CO,213,Owners/Managers of SMB Businesses
I'm not sure,8,bus_cdt_text,CR,197,Owners/Managers of SMB Businesses
No,144,bus_cdt_text,CR,197,Owners/Managers of SMB Businesses
Yes,38,bus_cdt_text,CR,197,Owners/Managers of SMB Businesses
NA,7,bus_cdt_text,CR,197,Owners/Managers of SMB Businesses
I'm not sure,5,bus_cdt_text,CY,89,Owners/Managers of SMB Businesses
No,55,bus_cdt_text,CY,89,Owners/Managers of SMB Businesses
Yes,23,bus_cdt_text,CY,89,Owners/Managers of SMB Businesses
NA,6,bus_cdt_text,CY,89,Owners/Managers of SMB Businesses
I'm not sure,6,bus_cdt_text,CZ,173,Owners/Managers of SMB Businesses
No,122,bus_cdt_text,CZ,173,Owners/Managers of SMB Businesses
Yes,37,bus_cdt_text,CZ,173,Owners/Managers of SMB Businesses
NA,8,bus_cdt_text,CZ,173,Owners/Managers of SMB Businesses
I'm not sure,10,bus_cdt_text,DE,176,Owners/Managers of SMB Businesses
No,116,bus_cdt_text,DE,176,Owners/Managers of SMB Businesses
Yes,44,bus_cdt_text,DE,176,Owners/Managers of SMB Businesses
NA,6,bus_cdt_text,DE,176,Owners/Managers of SMB Businesses
I'm not sure,2,bus_cdt_text,DK,115,Owners/Managers of SMB Businesses
No,79,bus_cdt_text,DK,115,Owners/Managers of SMB Businesses
Yes,29,bus_cdt_text,DK,115,Owners/Managers of SMB Businesses
NA,5,bus_cdt_text,DK,115,Owners/Managers of SMB Businesses
I'm not sure,12,bus_cdt_text,DO,221,Owners/Managers of SMB Businesses
No,137,bus_cdt_text,DO,221,Owners/Managers of SMB Businesses
Yes,63,bus_cdt_text,DO,221,Owners/Managers of SMB Businesses
NA,9,bus_cdt_text,DO,221,Owners/Managers of SMB Businesses
I'm not sure,24,bus_cdt_text,DZ,175,Owners/Managers of SMB Businesses
No,127,bus_cdt_text,DZ,175,Owners/Managers of SMB Businesses
Yes,18,bus_cdt_text,DZ,175,Owners/Managers of SMB Businesses
NA,6,bus_cdt_text,DZ,175,Owners/Managers of SMB Businesses
I'm not sure,11,bus_cdt_text,EC,243,Owners/Managers of SMB Businesses
No,165,bus_cdt_text,EC,243,Owners/Managers of SMB Businesses
Yes,58,bus_cdt_text,EC,243,Owners/Managers of SMB Businesses
NA,9,bus_cdt_text,EC,243,Owners/Managers of SMB Businesses
I'm not sure,2,bus_cdt_text,EE,60,Owners/Managers of SMB Businesses
No,47,bus_cdt_text,EE,60,Owners/Managers of SMB Businesses
Yes,9,bus_cdt_text,EE,60,Owners/Managers of SMB Businesses
NA,2,bus_cdt_text,EE,60,Owners/Managers of SMB Businesses
I'm not sure,25,bus_cdt_text,EG,215,Owners/Managers of SMB Businesses
No,154,bus_cdt_text,EG,215,Owners/Managers of SMB Businesses
Yes,28,bus_cdt_text,EG,215,Owners/Managers of SMB Businesses
NA,8,bus_cdt_text,EG,215,Owners/Managers of SMB Businesses
I'm not sure,8,bus_cdt_text,ES,189,Owners/Managers of SMB Businesses
No,111,bus_cdt_text,ES,189,Owners/Managers of SMB Businesses
Yes,64,bus_cdt_text,ES,189,Owners/Managers of SMB Businesses
NA,6,bus_cdt_text,ES,189,Owners/Managers of SMB Businesses
I'm not sure,6,bus_cdt_text,ET,64,Owners/Managers of SMB Businesses
No,39,bus_cdt_text,ET,64,Owners/Managers of SMB Businesses
Yes,17,bus_cdt_text,ET,64,Owners/Managers of SMB Businesses
NA,2,bus_cdt_text,ET,64,Owners/Managers of SMB Businesses
I'm not sure,6,bus_cdt_text,FI,199,Owners/Managers of SMB Businesses
No,111,bus_cdt_text,FI,199,Owners/Managers of SMB Businesses
Yes,75,bus_cdt_text,FI,199,Owners/Managers of SMB Businesses
NA,7,bus_cdt_text,FI,199,Owners/Managers of SMB Businesses
I'm not sure,13,bus_cdt_text,FR,205,Owners/Managers of SMB Businesses
No,118,bus_cdt_text,FR,205,Owners/Managers of SMB Businesses
Yes,67,bus_cdt_text,FR,205,Owners/Managers of SMB Businesses
NA,7,bus_cdt_text,FR,205,Owners/Managers of SMB Businesses
I'm not sure,1,bus_cdt_text,GB,197,Owners/Managers of SMB Businesses
No,150,bus_cdt_text,GB,197,Owners/Managers of SMB Businesses
Yes,40,bus_cdt_text,GB,197,Owners/Managers of SMB Businesses
NA,6,bus_cdt_text,GB,197,Owners/Managers of SMB Businesses
I'm not sure,18,bus_cdt_text,GH,202,Owners/Managers of SMB Businesses
No,145,bus_cdt_text,GH,202,Owners/Managers of SMB Businesses
Yes,27,bus_cdt_text,GH,202,Owners/Managers of SMB Businesses
NA,12,bus_cdt_text,GH,202,Owners/Managers of SMB Businesses
I'm not sure,4,bus_cdt_text,GR,195,Owners/Managers of SMB Businesses
No,137,bus_cdt_text,GR,195,Owners/Managers of SMB Businesses
Yes,36,bus_cdt_text,GR,195,Owners/Managers of SMB Businesses
NA,18,bus_cdt_text,GR,195,Owners/Managers of SMB Businesses
I'm not sure,9,bus_cdt_text,GT,215,Owners/Managers of SMB Businesses
No,147,bus_cdt_text,GT,215,Owners/Managers of SMB Businesses
Yes,57,bus_cdt_text,GT,215,Owners/Managers of SMB Businesses
NA,2,bus_cdt_text,GT,215,Owners/Managers of SMB Businesses
I'm not sure,14,bus_cdt_text,HK,139,Owners/Managers of SMB Businesses
No,99,bus_cdt_text,HK,139,Owners/Managers of SMB Businesses
Yes,26,bus_cdt_text,HK,139,Owners/Managers of SMB Businesses
I'm not sure,5,bus_cdt_text,HN,164,Owners/Managers of SMB Businesses
No,108,bus_cdt_text,HN,164,Owners/Managers of SMB Businesses
Yes,48,bus_cdt_text,HN,164,Owners/Managers of SMB Businesses
NA,3,bus_cdt_text,HN,164,Owners/Managers of SMB Businesses
I'm not sure,7,bus_cdt_text,HR,155,Owners/Managers of SMB Businesses
No,103,bus_cdt_text,HR,155,Owners/Managers of SMB Businesses
Yes,41,bus_cdt_text,HR,155,Owners/Managers of SMB Businesses
NA,4,bus_cdt_text,HR,155,Owners/Managers of SMB Businesses
I'm not sure,6,bus_cdt_text,HT,44,Owners/Managers of SMB Businesses
No,34,bus_cdt_text,HT,44,Owners/Managers of SMB Businesses
Yes,3,bus_cdt_text,HT,44,Owners/Managers of SMB Businesses
NA,1,bus_cdt_text,HT,44,Owners/Managers of SMB Businesses
I'm not sure,1,bus_cdt_text,HU,216,Owners/Managers of SMB Businesses
No,178,bus_cdt_text,HU,216,Owners/Managers of SMB Businesses
Yes,32,bus_cdt_text,HU,216,Owners/Managers of SMB Businesses
NA,5,bus_cdt_text,HU,216,Owners/Managers of SMB Businesses
I'm not sure,10,bus_cdt_text,ID,209,Owners/Managers of SMB Businesses
No,151,bus_cdt_text,ID,209,Owners/Managers of SMB Businesses
Yes,44,bus_cdt_text,ID,209,Owners/Managers of SMB Businesses
NA,4,bus_cdt_text,ID,209,Owners/Managers of SMB Businesses
I'm not sure,8,bus_cdt_text,IE,188,Owners/Managers of SMB Businesses
No,137,bus_cdt_text,IE,188,Owners/Managers of SMB Businesses
Yes,37,bus_cdt_text,IE,188,Owners/Managers of SMB Businesses
NA,6,bus_cdt_text,IE,188,Owners/Managers of SMB Businesses
I'm not sure,7,bus_cdt_text,IL,207,Owners/Managers of SMB Businesses
No,123,bus_cdt_text,IL,207,Owners/Managers of SMB Businesses
Yes,66,bus_cdt_text,IL,207,Owners/Managers of SMB Businesses
NA,11,bus_cdt_text,IL,207,Owners/Managers of SMB Businesses
I'm not sure,53,bus_cdt_text,IN,367,Owners/Managers of SMB Businesses
No,217,bus_cdt_text,IN,367,Owners/Managers of SMB Businesses
Yes,80,bus_cdt_text,IN,367,Owners/Managers of SMB Businesses
NA,17,bus_cdt_text,IN,367,Owners/Managers of SMB Businesses
I'm not sure,34,bus_cdt_text,IQ,251,Owners/Managers of SMB Businesses
No,186,bus_cdt_text,IQ,251,Owners/Managers of SMB Businesses
Yes,23,bus_cdt_text,IQ,251,Owners/Managers of SMB Businesses
NA,8,bus_cdt_text,IQ,251,Owners/Managers of SMB Businesses
I'm not sure,15,bus_cdt_text,IT,213,Owners/Managers of SMB Businesses
No,126,bus_cdt_text,IT,213,Owners/Managers of SMB Businesses
Yes,59,bus_cdt_text,IT,213,Owners/Managers of SMB Businesses
NA,13,bus_cdt_text,IT,213,Owners/Managers of SMB Businesses
I'm not sure,1,bus_cdt_text,JM,55,Owners/Managers of SMB Businesses
