"value","statistic","variable","country","total_asked","who_was_asked"
"Food and beverages trade",10,"covid_sec_1_text","AE",407,"Owners/Managers of SMB Businesses"
"Non-food trade",57,"covid_sec_1_text","AE",407,"Owners/Managers of SMB Businesses"
"Other (please specify)",9,"covid_sec_1_text","AE",407,"Owners/Managers of SMB Businesses"
NA,331,"covid_sec_1_text","AE",407,"Owners/Managers of SMB Businesses"
"Food and beverages trade",19,"covid_sec_1_text","AR",354,"Owners/Managers of SMB Businesses"
"Non-food trade",54,"covid_sec_1_text","AR",354,"Owners/Managers of SMB Businesses"
"Other (please specify)",9,"covid_sec_1_text","AR",354,"Owners/Managers of SMB Businesses"
NA,272,"covid_sec_1_text","AR",354,"Owners/Managers of SMB Businesses"
"Food and beverages trade",16,"covid_sec_1_text","AU",609,"Owners/Managers of SMB Businesses"
"Non-food trade",82,"covid_sec_1_text","AU",609,"Owners/Managers of SMB Businesses"
"Other (please specify)",8,"covid_sec_1_text","AU",609,"Owners/Managers of SMB Businesses"
NA,503,"covid_sec_1_text","AU",609,"Owners/Managers of SMB Businesses"
"Food and beverages trade",8,"covid_sec_1_text","BD",400,"Owners/Managers of SMB Businesses"
"Non-food trade",50,"covid_sec_1_text","BD",400,"Owners/Managers of SMB Businesses"
"Other (please specify)",17,"covid_sec_1_text","BD",400,"Owners/Managers of SMB Businesses"
NA,325,"covid_sec_1_text","BD",400,"Owners/Managers of SMB Businesses"
"Food and beverages trade",22,"covid_sec_1_text","BE",471,"Owners/Managers of SMB Businesses"
"Non-food trade",71,"covid_sec_1_text","BE",471,"Owners/Managers of SMB Businesses"
"Other (please specify)",5,"covid_sec_1_text","BE",471,"Owners/Managers of SMB Businesses"
NA,373,"covid_sec_1_text","BE",471,"Owners/Managers of SMB Businesses"
"Food and beverages trade",25,"covid_sec_1_text","BR",834,"Owners/Managers of SMB Businesses"
"Non-food trade",90,"covid_sec_1_text","BR",834,"Owners/Managers of SMB Businesses"
"Other (please specify)",21,"covid_sec_1_text","BR",834,"Owners/Managers of SMB Businesses"
NA,698,"covid_sec_1_text","BR",834,"Owners/Managers of SMB Businesses"
"Food and beverages trade",20,"covid_sec_1_text","CA",628,"Owners/Managers of SMB Businesses"
"Non-food trade",75,"covid_sec_1_text","CA",628,"Owners/Managers of SMB Businesses"
"Other (please specify)",13,"covid_sec_1_text","CA",628,"Owners/Managers of SMB Businesses"
NA,520,"covid_sec_1_text","CA",628,"Owners/Managers of SMB Businesses"
"Food and beverages trade",9,"covid_sec_1_text","CH",332,"Owners/Managers of SMB Businesses"
"Non-food trade",38,"covid_sec_1_text","CH",332,"Owners/Managers of SMB Businesses"
"Other (please specify)",9,"covid_sec_1_text","CH",332,"Owners/Managers of SMB Businesses"
NA,276,"covid_sec_1_text","CH",332,"Owners/Managers of SMB Businesses"
"Food and beverages trade",12,"covid_sec_1_text","CO",288,"Owners/Managers of SMB Businesses"
"Non-food trade",38,"covid_sec_1_text","CO",288,"Owners/Managers of SMB Businesses"
"Other (please specify)",11,"covid_sec_1_text","CO",288,"Owners/Managers of SMB Businesses"
NA,227,"covid_sec_1_text","CO",288,"Owners/Managers of SMB Businesses"
"Food and beverages trade",11,"covid_sec_1_text","CZ",419,"Owners/Managers of SMB Businesses"
"Non-food trade",37,"covid_sec_1_text","CZ",419,"Owners/Managers of SMB Businesses"
"Other (please specify)",3,"covid_sec_1_text","CZ",419,"Owners/Managers of SMB Businesses"
NA,368,"covid_sec_1_text","CZ",419,"Owners/Managers of SMB Businesses"
"Food and beverages trade",16,"covid_sec_1_text","DE",509,"Owners/Managers of SMB Businesses"
"Non-food trade",40,"covid_sec_1_text","DE",509,"Owners/Managers of SMB Businesses"
"Other (please specify)",14,"covid_sec_1_text","DE",509,"Owners/Managers of SMB Businesses"
NA,439,"covid_sec_1_text","DE",509,"Owners/Managers of SMB Businesses"
"Food and beverages trade",11,"covid_sec_1_text","DK",436,"Owners/Managers of SMB Businesses"
"Non-food trade",53,"covid_sec_1_text","DK",436,"Owners/Managers of SMB Businesses"
"Other (please specify)",7,"covid_sec_1_text","DK",436,"Owners/Managers of SMB Businesses"
NA,365,"covid_sec_1_text","DK",436,"Owners/Managers of SMB Businesses"
"Food and beverages trade",9,"covid_sec_1_text","EC",332,"Owners/Managers of SMB Businesses"
"Non-food trade",34,"covid_sec_1_text","EC",332,"Owners/Managers of SMB Businesses"
"Other (please specify)",10,"covid_sec_1_text","EC",332,"Owners/Managers of SMB Businesses"
NA,279,"covid_sec_1_text","EC",332,"Owners/Managers of SMB Businesses"
"Food and beverages trade",15,"covid_sec_1_text","EG",649,"Owners/Managers of SMB Businesses"
"Non-food trade",117,"covid_sec_1_text","EG",649,"Owners/Managers of SMB Businesses"
"Other (please specify)",28,"covid_sec_1_text","EG",649,"Owners/Managers of SMB Businesses"
NA,489,"covid_sec_1_text","EG",649,"Owners/Managers of SMB Businesses"
"Food and beverages trade",24,"covid_sec_1_text","ES",576,"Owners/Managers of SMB Businesses"
"Non-food trade",69,"covid_sec_1_text","ES",576,"Owners/Managers of SMB Businesses"
"Other (please specify)",14,"covid_sec_1_text","ES",576,"Owners/Managers of SMB Businesses"
NA,469,"covid_sec_1_text","ES",576,"Owners/Managers of SMB Businesses"
"Food and beverages trade",23,"covid_sec_1_text","FR",545,"Owners/Managers of SMB Businesses"
"Non-food trade",69,"covid_sec_1_text","FR",545,"Owners/Managers of SMB Businesses"
"Other (please specify)",5,"covid_sec_1_text","FR",545,"Owners/Managers of SMB Businesses"
NA,448,"covid_sec_1_text","FR",545,"Owners/Managers of SMB Businesses"
"Food and beverages trade",14,"covid_sec_1_text","GB",1023,"Owners/Managers of SMB Businesses"
"Non-food trade",133,"covid_sec_1_text","GB",1023,"Owners/Managers of SMB Businesses"
"Other (please specify)",18,"covid_sec_1_text","GB",1023,"Owners/Managers of SMB Businesses"
NA,858,"covid_sec_1_text","GB",1023,"Owners/Managers of SMB Businesses"
"Food and beverages trade",30,"covid_sec_1_text","GH",843,"Owners/Managers of SMB Businesses"
"Non-food trade",107,"covid_sec_1_text","GH",843,"Owners/Managers of SMB Businesses"
"Other (please specify)",31,"covid_sec_1_text","GH",843,"Owners/Managers of SMB Businesses"
NA,675,"covid_sec_1_text","GH",843,"Owners/Managers of SMB Businesses"
"Food and beverages trade",25,"covid_sec_1_text","GR",614,"Owners/Managers of SMB Businesses"
"Non-food trade",61,"covid_sec_1_text","GR",614,"Owners/Managers of SMB Businesses"
"Other (please specify)",23,"covid_sec_1_text","GR",614,"Owners/Managers of SMB Businesses"
NA,505,"covid_sec_1_text","GR",614,"Owners/Managers of SMB Businesses"
"Food and beverages trade",21,"covid_sec_1_text","HK",228,"Owners/Managers of SMB Businesses"
"Non-food trade",54,"covid_sec_1_text","HK",228,"Owners/Managers of SMB Businesses"
"Other (please specify)",8,"covid_sec_1_text","HK",228,"Owners/Managers of SMB Businesses"
NA,145,"covid_sec_1_text","HK",228,"Owners/Managers of SMB Businesses"
"Food and beverages trade",22,"covid_sec_1_text","HU",779,"Owners/Managers of SMB Businesses"
"Non-food trade",78,"covid_sec_1_text","HU",779,"Owners/Managers of SMB Businesses"
"Other (please specify)",18,"covid_sec_1_text","HU",779,"Owners/Managers of SMB Businesses"
NA,661,"covid_sec_1_text","HU",779,"Owners/Managers of SMB Businesses"
"Food and beverages trade",27,"covid_sec_1_text","ID",528,"Owners/Managers of SMB Businesses"
"Non-food trade",56,"covid_sec_1_text","ID",528,"Owners/Managers of SMB Businesses"
"Other (please specify)",19,"covid_sec_1_text","ID",528,"Owners/Managers of SMB Businesses"
NA,426,"covid_sec_1_text","ID",528,"Owners/Managers of SMB Businesses"
"Food and beverages trade",14,"covid_sec_1_text","IE",458,"Owners/Managers of SMB Businesses"
"Non-food trade",48,"covid_sec_1_text","IE",458,"Owners/Managers of SMB Businesses"
"Other (please specify)",6,"covid_sec_1_text","IE",458,"Owners/Managers of SMB Businesses"
NA,390,"covid_sec_1_text","IE",458,"Owners/Managers of SMB Businesses"
"Food and beverages trade",17,"covid_sec_1_text","IL",863,"Owners/Managers of SMB Businesses"
"Non-food trade",54,"covid_sec_1_text","IL",863,"Owners/Managers of SMB Businesses"
"Other (please specify)",9,"covid_sec_1_text","IL",863,"Owners/Managers of SMB Businesses"
NA,783,"covid_sec_1_text","IL",863,"Owners/Managers of SMB Businesses"
"Food and beverages trade",40,"covid_sec_1_text","IN",1276,"Owners/Managers of SMB Businesses"
"Non-food trade",113,"covid_sec_1_text","IN",1276,"Owners/Managers of SMB Businesses"
"Other (please specify)",30,"covid_sec_1_text","IN",1276,"Owners/Managers of SMB Businesses"
NA,1093,"covid_sec_1_text","IN",1276,"Owners/Managers of SMB Businesses"
"Food and beverages trade",12,"covid_sec_1_text","IQ",342,"Owners/Managers of SMB Businesses"
"Non-food trade",81,"covid_sec_1_text","IQ",342,"Owners/Managers of SMB Businesses"
"Other (please specify)",7,"covid_sec_1_text","IQ",342,"Owners/Managers of SMB Businesses"
NA,242,"covid_sec_1_text","IQ",342,"Owners/Managers of SMB Businesses"
"Food and beverages trade",20,"covid_sec_1_text","IT",612,"Owners/Managers of SMB Businesses"
"Non-food trade",77,"covid_sec_1_text","IT",612,"Owners/Managers of SMB Businesses"
"Other (please specify)",18,"covid_sec_1_text","IT",612,"Owners/Managers of SMB Businesses"
NA,497,"covid_sec_1_text","IT",612,"Owners/Managers of SMB Businesses"
"Food and beverages trade",22,"covid_sec_1_text","JP",860,"Owners/Managers of SMB Businesses"
"Non-food trade",52,"covid_sec_1_text","JP",860,"Owners/Managers of SMB Businesses"
"Other (please specify)",26,"covid_sec_1_text","JP",860,"Owners/Managers of SMB Businesses"
NA,760,"covid_sec_1_text","JP",860,"Owners/Managers of SMB Businesses"
"Food and beverages trade",32,"covid_sec_1_text","KE",721,"Owners/Managers of SMB Businesses"
"Non-food trade",76,"covid_sec_1_text","KE",721,"Owners/Managers of SMB Businesses"
"Other (please specify)",20,"covid_sec_1_text","KE",721,"Owners/Managers of SMB Businesses"
NA,593,"covid_sec_1_text","KE",721,"Owners/Managers of SMB Businesses"
"Food and beverages trade",30,"covid_sec_1_text","KH",607,"Owners/Managers of SMB Businesses"
"Non-food trade",118,"covid_sec_1_text","KH",607,"Owners/Managers of SMB Businesses"
"Other (please specify)",30,"covid_sec_1_text","KH",607,"Owners/Managers of SMB Businesses"
NA,429,"covid_sec_1_text","KH",607,"Owners/Managers of SMB Businesses"
"Food and beverages trade",7,"covid_sec_1_text","KR",201,"Owners/Managers of SMB Businesses"
"Non-food trade",23,"covid_sec_1_text","KR",201,"Owners/Managers of SMB Businesses"
"Other (please specify)",8,"covid_sec_1_text","KR",201,"Owners/Managers of SMB Businesses"
NA,163,"covid_sec_1_text","KR",201,"Owners/Managers of SMB Businesses"
"Food and beverages trade",18,"covid_sec_1_text","MM",566,"Owners/Managers of SMB Businesses"
"Non-food trade",71,"covid_sec_1_text","MM",566,"Owners/Managers of SMB Businesses"
"Other (please specify)",27,"covid_sec_1_text","MM",566,"Owners/Managers of SMB Businesses"
NA,450,"covid_sec_1_text","MM",566,"Owners/Managers of SMB Businesses"
"Food and beverages trade",21,"covid_sec_1_text","MX",500,"Owners/Managers of SMB Businesses"
"Non-food trade",56,"covid_sec_1_text","MX",500,"Owners/Managers of SMB Businesses"
"Other (please specify)",20,"covid_sec_1_text","MX",500,"Owners/Managers of SMB Businesses"
NA,403,"covid_sec_1_text","MX",500,"Owners/Managers of SMB Businesses"
"Food and beverages trade",33,"covid_sec_1_text","MY",634,"Owners/Managers of SMB Businesses"
"Non-food trade",72,"covid_sec_1_text","MY",634,"Owners/Managers of SMB Businesses"
"Other (please specify)",15,"covid_sec_1_text","MY",634,"Owners/Managers of SMB Businesses"
NA,514,"covid_sec_1_text","MY",634,"Owners/Managers of SMB Businesses"
"Food and beverages trade",58,"covid_sec_1_text","NG",1293,"Owners/Managers of SMB Businesses"
"Non-food trade",122,"covid_sec_1_text","NG",1293,"Owners/Managers of SMB Businesses"
"Other (please specify)",60,"covid_sec_1_text","NG",1293,"Owners/Managers of SMB Businesses"
NA,1053,"covid_sec_1_text","NG",1293,"Owners/Managers of SMB Businesses"
"Food and beverages trade",9,"covid_sec_1_text","NL",503,"Owners/Managers of SMB Businesses"
"Non-food trade",82,"covid_sec_1_text","NL",503,"Owners/Managers of SMB Businesses"
"Other (please specify)",7,"covid_sec_1_text","NL",503,"Owners/Managers of SMB Businesses"
NA,405,"covid_sec_1_text","NL",503,"Owners/Managers of SMB Businesses"
"Food and beverages trade",10,"covid_sec_1_text","NO",413,"Owners/Managers of SMB Businesses"
"Non-food trade",54,"covid_sec_1_text","NO",413,"Owners/Managers of SMB Businesses"
"Other (please specify)",3,"covid_sec_1_text","NO",413,"Owners/Managers of SMB Businesses"
NA,346,"covid_sec_1_text","NO",413,"Owners/Managers of SMB Businesses"
"Food and beverages trade",12,"covid_sec_1_text","PE",274,"Owners/Managers of SMB Businesses"
"Non-food trade",29,"covid_sec_1_text","PE",274,"Owners/Managers of SMB Businesses"
"Other (please specify)",10,"covid_sec_1_text","PE",274,"Owners/Managers of SMB Businesses"
NA,223,"covid_sec_1_text","PE",274,"Owners/Managers of SMB Businesses"
"Food and beverages trade",36,"covid_sec_1_text","PH",288,"Owners/Managers of SMB Businesses"
"Non-food trade",40,"covid_sec_1_text","PH",288,"Owners/Managers of SMB Businesses"
"Other (please specify)",9,"covid_sec_1_text","PH",288,"Owners/Managers of SMB Businesses"
NA,203,"covid_sec_1_text","PH",288,"Owners/Managers of SMB Businesses"
"Food and beverages trade",23,"covid_sec_1_text","PK",566,"Owners/Managers of SMB Businesses"
"Non-food trade",66,"covid_sec_1_text","PK",566,"Owners/Managers of SMB Businesses"
"Other (please specify)",20,"covid_sec_1_text","PK",566,"Owners/Managers of SMB Businesses"
NA,457,"covid_sec_1_text","PK",566,"Owners/Managers of SMB Businesses"
"Food and beverages trade",8,"covid_sec_1_text","PL",541,"Owners/Managers of SMB Businesses"
"Non-food trade",61,"covid_sec_1_text","PL",541,"Owners/Managers of SMB Businesses"
"Other (please specify)",5,"covid_sec_1_text","PL",541,"Owners/Managers of SMB Businesses"
NA,467,"covid_sec_1_text","PL",541,"Owners/Managers of SMB Businesses"
"Food and beverages trade",12,"covid_sec_1_text","PT",442,"Owners/Managers of SMB Businesses"
"Non-food trade",32,"covid_sec_1_text","PT",442,"Owners/Managers of SMB Businesses"
"Other (please specify)",14,"covid_sec_1_text","PT",442,"Owners/Managers of SMB Businesses"
NA,384,"covid_sec_1_text","PT",442,"Owners/Managers of SMB Businesses"
"Food and beverages trade",15,"covid_sec_1_text","RO",574,"Owners/Managers of SMB Businesses"
"Non-food trade",36,"covid_sec_1_text","RO",574,"Owners/Managers of SMB Businesses"
"Other (please specify)",1,"covid_sec_1_text","RO",574,"Owners/Managers of SMB Businesses"
NA,522,"covid_sec_1_text","RO",574,"Owners/Managers of SMB Businesses"
"Food and beverages trade",14,"covid_sec_1_text","RU",515,"Owners/Managers of SMB Businesses"
"Non-food trade",64,"covid_sec_1_text","RU",515,"Owners/Managers of SMB Businesses"
"Other (please specify)",2,"covid_sec_1_text","RU",515,"Owners/Managers of SMB Businesses"
NA,435,"covid_sec_1_text","RU",515,"Owners/Managers of SMB Businesses"
"Food and beverages trade",6,"covid_sec_1_text","SE",547,"Owners/Managers of SMB Businesses"
"Non-food trade",55,"covid_sec_1_text","SE",547,"Owners/Managers of SMB Businesses"
"Other (please specify)",11,"covid_sec_1_text","SE",547,"Owners/Managers of SMB Businesses"
NA,475,"covid_sec_1_text","SE",547,"Owners/Managers of SMB Businesses"
"Food and beverages trade",11,"covid_sec_1_text","SG",351,"Owners/Managers of SMB Businesses"
"Non-food trade",55,"covid_sec_1_text","SG",351,"Owners/Managers of SMB Businesses"
"Other (please specify)",8,"covid_sec_1_text","SG",351,"Owners/Managers of SMB Businesses"
NA,277,"covid_sec_1_text","SG",351,"Owners/Managers of SMB Businesses"
"Food and beverages trade",62,"covid_sec_1_text","TH",740,"Owners/Managers of SMB Businesses"
"Non-food trade",117,"covid_sec_1_text","TH",740,"Owners/Managers of SMB Businesses"
"Other (please specify)",30,"covid_sec_1_text","TH",740,"Owners/Managers of SMB Businesses"
NA,531,"covid_sec_1_text","TH",740,"Owners/Managers of SMB Businesses"
"Food and beverages trade",17,"covid_sec_1_text","TR",550,"Owners/Managers of SMB Businesses"
"Non-food trade",77,"covid_sec_1_text","TR",550,"Owners/Managers of SMB Businesses"
"Other (please specify)",34,"covid_sec_1_text","TR",550,"Owners/Managers of SMB Businesses"
NA,422,"covid_sec_1_text","TR",550,"Owners/Managers of SMB Businesses"
"Food and beverages trade",17,"covid_sec_1_text","TW",463,"Owners/Managers of SMB Businesses"
"Non-food trade",70,"covid_sec_1_text","TW",463,"Owners/Managers of SMB Businesses"
"Other (please specify)",18,"covid_sec_1_text","TW",463,"Owners/Managers of SMB Businesses"
NA,358,"covid_sec_1_text","TW",463,"Owners/Managers of SMB Businesses"
"Food and beverages trade",12,"covid_sec_1_text","US",1026,"Owners/Managers of SMB Businesses"
"Non-food trade",158,"covid_sec_1_text","US",1026,"Owners/Managers of SMB Businesses"
"Other (please specify)",16,"covid_sec_1_text","US",1026,"Owners/Managers of SMB Businesses"
NA,840,"covid_sec_1_text","US",1026,"Owners/Managers of SMB Businesses"
"Food and beverages trade",29,"covid_sec_1_text","VN",447,"Owners/Managers of SMB Businesses"
"Non-food trade",105,"covid_sec_1_text","VN",447,"Owners/Managers of SMB Businesses"
"Other (please specify)",14,"covid_sec_1_text","VN",447,"Owners/Managers of SMB Businesses"
NA,299,"covid_sec_1_text","VN",447,"Owners/Managers of SMB Businesses"
"Food and beverages trade",10,"covid_sec_1_text","ZA",400,"Owners/Managers of SMB Businesses"
"Non-food trade",23,"covid_sec_1_text","ZA",400,"Owners/Managers of SMB Businesses"
"Other (please specify)",8,"covid_sec_1_text","ZA",400,"Owners/Managers of SMB Businesses"
NA,359,"covid_sec_1_text","ZA",400,"Owners/Managers of SMB Businesses"
"Construction, maintenance, and cleaning",6,"covid_sec_2_text","AE",407,"Owners/Managers of SMB Businesses"
"Education and child care services",2,"covid_sec_2_text","AE",407,"Owners/Managers of SMB Businesses"
"Hospitality and event services",11,"covid_sec_2_text","AE",407,"Owners/Managers of SMB Businesses"
"Other (please specify)",11,"covid_sec_2_text","AE",407,"Owners/Managers of SMB Businesses"
"Professional services",26,"covid_sec_2_text","AE",407,"Owners/Managers of SMB Businesses"
"Real estate activities",7,"covid_sec_2_text","AE",407,"Owners/Managers of SMB Businesses"
"Travel or tourism agencies",7,"covid_sec_2_text","AE",407,"Owners/Managers of SMB Businesses"
"Wellness, personal grooming, sports, and fitness",6,"covid_sec_2_text","AE",407,"Owners/Managers of SMB Businesses"
NA,331,"covid_sec_2_text","AE",407,"Owners/Managers of SMB Businesses"
"Construction, maintenance, and cleaning",7,"covid_sec_2_text","AR",354,"Owners/Managers of SMB Businesses"
"Education and child care services",2,"covid_sec_2_text","AR",354,"Owners/Managers of SMB Businesses"
"Hospitality and event services",7,"covid_sec_2_text","AR",354,"Owners/Managers of SMB Businesses"
"Other (please specify)",21,"covid_sec_2_text","AR",354,"Owners/Managers of SMB Businesses"
"Performing arts and entertainment",12,"covid_sec_2_text","AR",354,"Owners/Managers of SMB Businesses"
"Professional services",30,"covid_sec_2_text","AR",354,"Owners/Managers of SMB Businesses"
"Real estate activities",4,"covid_sec_2_text","AR",354,"Owners/Managers of SMB Businesses"
"Travel or tourism agencies",1,"covid_sec_2_text","AR",354,"Owners/Managers of SMB Businesses"
"Wellness, personal grooming, sports, and fitness",14,"covid_sec_2_text","AR",354,"Owners/Managers of SMB Businesses"
NA,256,"covid_sec_2_text","AR",354,"Owners/Managers of SMB Businesses"
"Construction, maintenance, and cleaning",19,"covid_sec_2_text","AU",609,"Owners/Managers of SMB Businesses"
"Education and child care services",2,"covid_sec_2_text","AU",609,"Owners/Managers of SMB Businesses"
"Hospitality and event services",4,"covid_sec_2_text","AU",609,"Owners/Managers of SMB Businesses"
"Other (please specify)",25,"covid_sec_2_text","AU",609,"Owners/Managers of SMB Businesses"
"Performing arts and entertainment",7,"covid_sec_2_text","AU",609,"Owners/Managers of SMB Businesses"
"Professional services",63,"covid_sec_2_text","AU",609,"Owners/Managers of SMB Businesses"
"Real estate activities",7,"covid_sec_2_text","AU",609,"Owners/Managers of SMB Businesses"
"Travel or tourism agencies",4,"covid_sec_2_text","AU",609,"Owners/Managers of SMB Businesses"
"Wellness, personal grooming, sports, and fitness",27,"covid_sec_2_text","AU",609,"Owners/Managers of SMB Businesses"
NA,451,"covid_sec_2_text","AU",609,"Owners/Managers of SMB Businesses"
"Construction, maintenance, and cleaning",1,"covid_sec_2_text","BD",400,"Owners/Managers of SMB Businesses"
"Education and child care services",4,"covid_sec_2_text","BD",400,"Owners/Managers of SMB Businesses"
"Hospitality and event services",2,"covid_sec_2_text","BD",400,"Owners/Managers of SMB Businesses"
"Other (please specify)",4,"covid_sec_2_text","BD",400,"Owners/Managers of SMB Businesses"
"Performing arts and entertainment",4,"covid_sec_2_text","BD",400,"Owners/Managers of SMB Businesses"
"Professional services",20,"covid_sec_2_text","BD",400,"Owners/Managers of SMB Businesses"
"Real estate activities",4,"covid_sec_2_text","BD",400,"Owners/Managers of SMB Businesses"
"Travel or tourism agencies",3,"covid_sec_2_text","BD",400,"Owners/Managers of SMB Businesses"
"Wellness, personal grooming, sports, and fitness",1,"covid_sec_2_text","BD",400,"Owners/Managers of SMB Businesses"
NA,357,"covid_sec_2_text","BD",400,"Owners/Managers of SMB Businesses"
"Construction, maintenance, and cleaning",7,"covid_sec_2_text","BE",471,"Owners/Managers of SMB Businesses"
"Education and child care services",4,"covid_sec_2_text","BE",471,"Owners/Managers of SMB Businesses"
"Hospitality and event services",5,"covid_sec_2_text","BE",471,"Owners/Managers of SMB Businesses"
"Other (please specify)",24,"covid_sec_2_text","BE",471,"Owners/Managers of SMB Businesses"
"Performing arts and entertainment",7,"covid_sec_2_text","BE",471,"Owners/Managers of SMB Businesses"
"Professional services",36,"covid_sec_2_text","BE",471,"Owners/Managers of SMB Businesses"
"Real estate activities",6,"covid_sec_2_text","BE",471,"Owners/Managers of SMB Businesses"
"Travel or tourism agencies",1,"covid_sec_2_text","BE",471,"Owners/Managers of SMB Businesses"
"Wellness, personal grooming, sports, and fitness",31,"covid_sec_2_text","BE",471,"Owners/Managers of SMB Businesses"
NA,350,"covid_sec_2_text","BE",471,"Owners/Managers of SMB Businesses"
"Construction, maintenance, and cleaning",14,"covid_sec_2_text","BR",834,"Owners/Managers of SMB Businesses"
"Education and child care services",7,"covid_sec_2_text","BR",834,"Owners/Managers of SMB Businesses"
"Hospitality and event services",8,"covid_sec_2_text","BR",834,"Owners/Managers of SMB Businesses"
"Other (please specify)",63,"covid_sec_2_text","BR",834,"Owners/Managers of SMB Businesses"
"Performing arts and entertainment",4,"covid_sec_2_text","BR",834,"Owners/Managers of SMB Businesses"
"Professional services",100,"covid_sec_2_text","BR",834,"Owners/Managers of SMB Businesses"
"Real estate activities",8,"covid_sec_2_text","BR",834,"Owners/Managers of SMB Businesses"
"Travel or tourism agencies",3,"covid_sec_2_text","BR",834,"Owners/Managers of SMB Businesses"
"Wellness, personal grooming, sports, and fitness",43,"covid_sec_2_text","BR",834,"Owners/Managers of SMB Businesses"
NA,584,"covid_sec_2_text","BR",834,"Owners/Managers of SMB Businesses"
"Construction, maintenance, and cleaning",13,"covid_sec_2_text","CA",628,"Owners/Managers of SMB Businesses"
"Education and child care services",8,"covid_sec_2_text","CA",628,"Owners/Managers of SMB Businesses"
"Hospitality and event services",9,"covid_sec_2_text","CA",628,"Owners/Managers of SMB Businesses"
"Other (please specify)",44,"covid_sec_2_text","CA",628,"Owners/Managers of SMB Businesses"
"Performing arts and entertainment",6,"covid_sec_2_text","CA",628,"Owners/Managers of SMB Businesses"
"Professional services",66,"covid_sec_2_text","CA",628,"Owners/Managers of SMB Businesses"
"Real estate activities",14,"covid_sec_2_text","CA",628,"Owners/Managers of SMB Businesses"
"Travel or tourism agencies",2,"covid_sec_2_text","CA",628,"Owners/Managers of SMB Businesses"
"Wellness, personal grooming, sports, and fitness",27,"covid_sec_2_text","CA",628,"Owners/Managers of SMB Businesses"
NA,439,"covid_sec_2_text","CA",628,"Owners/Managers of SMB Businesses"
"Construction, maintenance, and cleaning",2,"covid_sec_2_text","CH",332,"Owners/Managers of SMB Businesses"
"Education and child care services",6,"covid_sec_2_text","CH",332,"Owners/Managers of SMB Businesses"
"Hospitality and event services",2,"covid_sec_2_text","CH",332,"Owners/Managers of SMB Businesses"
"Other (please specify)",20,"covid_sec_2_text","CH",332,"Owners/Managers of SMB Businesses"
"Performing arts and entertainment",5,"covid_sec_2_text","CH",332,"Owners/Managers of SMB Businesses"
"Professional services",37,"covid_sec_2_text","CH",332,"Owners/Managers of SMB Businesses"
"Real estate activities",2,"covid_sec_2_text","CH",332,"Owners/Managers of SMB Businesses"
"Travel or tourism agencies",1,"covid_sec_2_text","CH",332,"Owners/Managers of SMB Businesses"
"Wellness, personal grooming, sports, and fitness",22,"covid_sec_2_text","CH",332,"Owners/Managers of SMB Businesses"
NA,235,"covid_sec_2_text","CH",332,"Owners/Managers of SMB Businesses"
"Construction, maintenance, and cleaning",2,"covid_sec_2_text","CO",288,"Owners/Managers of SMB Businesses"
"Education and child care services",3,"covid_sec_2_text","CO",288,"Owners/Managers of SMB Businesses"
"Hospitality and event services",4,"covid_sec_2_text","CO",288,"Owners/Managers of SMB Businesses"
"Other (please specify)",10,"covid_sec_2_text","CO",288,"Owners/Managers of SMB Businesses"
"Performing arts and entertainment",5,"covid_sec_2_text","CO",288,"Owners/Managers of SMB Businesses"
"Professional services",28,"covid_sec_2_text","CO",288,"Owners/Managers of SMB Businesses"
"Travel or tourism agencies",1,"covid_sec_2_text","CO",288,"Owners/Managers of SMB Businesses"
"Wellness, personal grooming, sports, and fitness",8,"covid_sec_2_text","CO",288,"Owners/Managers of SMB Businesses"
NA,227,"covid_sec_2_text","CO",288,"Owners/Managers of SMB Businesses"
"Construction, maintenance, and cleaning",7,"covid_sec_2_text","CZ",419,"Owners/Managers of SMB Businesses"
"Education and child care services",9,"covid_sec_2_text","CZ",419,"Owners/Managers of SMB Businesses"
"Hospitality and event services",7,"covid_sec_2_text","CZ",419,"Owners/Managers of SMB Businesses"
"Other (please specify)",23,"covid_sec_2_text","CZ",419,"Owners/Managers of SMB Businesses"
"Performing arts and entertainment",21,"covid_sec_2_text","CZ",419,"Owners/Managers of SMB Businesses"
"Professional services",43,"covid_sec_2_text","CZ",419,"Owners/Managers of SMB Businesses"
"Real estate activities",7,"covid_sec_2_text","CZ",419,"Owners/Managers of SMB Businesses"
"Travel or tourism agencies",5,"covid_sec_2_text","CZ",419,"Owners/Managers of SMB Businesses"
"Wellness, personal grooming, sports, and fitness",25,"covid_sec_2_text","CZ",419,"Owners/Managers of SMB Businesses"
NA,272,"covid_sec_2_text","CZ",419,"Owners/Managers of SMB Businesses"
"Construction, maintenance, and cleaning",8,"covid_sec_2_text","DE",509,"Owners/Managers of SMB Businesses"
"Education and child care services",14,"covid_sec_2_text","DE",509,"Owners/Managers of SMB Businesses"
"Hospitality and event services",11,"covid_sec_2_text","DE",509,"Owners/Managers of SMB Businesses"
"Other (please specify)",29,"covid_sec_2_text","DE",509,"Owners/Managers of SMB Businesses"
"Performing arts and entertainment",15,"covid_sec_2_text","DE",509,"Owners/Managers of SMB Businesses"
"Professional services",73,"covid_sec_2_text","DE",509,"Owners/Managers of SMB Businesses"
"Real estate activities",6,"covid_sec_2_text","DE",509,"Owners/Managers of SMB Businesses"
